Signal Legend:

Key        Signal Name

0        = waveform_gen:waveform_gen_inst|en
1        = waveform_gen:waveform_gen_inst|reset
2        = waveform_gen:waveform_gen_inst|phase_inc[31..0]
3        = waveform_gen:waveform_gen_inst|cos_out[11..0]
4        = waveform_gen:waveform_gen_inst|saw_out[11..0]
5        = waveform_gen:waveform_gen_inst|sin_out[11..0]
6        = waveform_gen:waveform_gen_inst|squ_out[11..0]

Data Table:

Signals-> 0 1 2         3    4    5    6    

sample

-764      1 1 00000102h 44Ah D71h 940h 7FFh 
-763      1 1 00000102h 44Ah D71h 940h 7FFh 
-762      1 1 00000102h 44Ah D71h 940h 7FFh 
-761      1 1 00000102h 44Ah D71h 940h 7FFh 
-760      1 1 00000102h 44Ah D71h 940h 7FFh 
-759      1 1 00000102h 44Ah D71h 940h 7FFh 
-758      1 1 00000102h 44Ah D71h 940h 7FFh 
-757      1 1 00000102h 44Ah D71h 940h 7FFh 
-756      1 1 00000102h 44Ah D71h 940h 7FFh 
-755      1 1 00000102h 44Ah D71h 940h 7FFh 
-754      1 1 00000102h 44Ah D71h 940h 7FFh 
-753      1 1 00000102h 44Ah D71h 940h 7FFh 
-752      1 1 00000102h 44Ah D71h 940h 7FFh 
-751      1 1 00000102h 44Ah D71h 940h 7FFh 
-750      1 1 00000102h 44Ah D71h 940h 7FFh 
-749      1 1 00000102h 44Ah D71h 940h 7FFh 
-748      1 1 00000102h 44Ah D71h 940h 7FFh 
-747      1 1 00000102h 44Ah D71h 940h 7FFh 
-746      1 1 00000102h 44Ah D71h 940h 7FFh 
-745      1 1 00000102h 44Ah D71h 940h 7FFh 
-744      1 1 00000102h 44Ah D71h 940h 7FFh 
-743      1 1 00000102h 44Ah D71h 940h 7FFh 
-742      1 1 00000102h 44Ah D71h 940h 7FFh 
-741      1 1 00000102h 44Ah D71h 940h 7FFh 
-740      1 1 00000102h 44Ah D71h 940h 7FFh 
-739      1 1 00000102h 44Ah D71h 940h 7FFh 
-738      1 1 00000102h 44Ah D71h 940h 7FFh 
-737      1 1 00000102h 44Ah D71h 940h 7FFh 
-736      1 1 00000102h 44Ah D71h 940h 7FFh 
-735      1 1 00000102h 44Ah D71h 940h 7FFh 
-734      1 1 00000102h 44Ah D71h 940h 7FFh 
-733      1 1 00000102h 44Ah D71h 940h 7FFh 
-732      1 1 00000102h 44Ah D71h 940h 7FFh 
